medicamentosap,textobrevemedicamento,med_std,esencial,esencial_item,esencial_desc
2000124,"ROMERO DESHIDRATADO","ROMERO DESHIDRATADO","No esencial","",""
2000126,"FIDEO DE TRIGO","FIDEO DE TRIGO","No esencial","",""
2000127,"RECIPIENTE DESCARTABLE","RECIPIENTE DESCARTABLE","No esencial","",""
2000128,"RECIPIENTE TERMICO","RECIPIENTE TERMICO","No esencial","",""
2000129,"LAMINA/FILM(PVC)","LAMINA/FILM(PVC)","No esencial","",""
2000140,"RUCULA","RUCULA","No esencial","",""
2000141,"BERRO","BERRO","No esencial","",""
2000142,"MASA LASAGNA","MASA LASAGNA","No esencial","",""
2000143,"QUESO MOZARELLA","QUESO MOZARELLA","No esencial","",""
2000144,"CARNE MOLIDA","CARNE MOLIDA","No esencial","",""
2000145,"PALETA AL VACIO","PALETA AL VACIO","No esencial","",""
2000146,"RABADILLA AL VACIO","RABADILLA AL VACIO","No esencial","",""
2000148,"CALABAZA","CALABAZA","No esencial","",""
4000000,"FILTRO DE AC.P/AUT.FORD FIES,MOT 1600 CC","FILTRO DE AC.P/AUT.FORD FIES,MOT 1600 CC","No esencial","",""
4000001,"FILTRO DE AI.P/AUT.FORD FIE.,MOT 1600 CC","FILTRO DE AI.P/AUT.FORD FIE.,MOT 1600 CC","No esencial","",""
4000002,"FILTRO DE CO P/AUT FORD FIE FL,MOT1600CC","FILTRO DE CO P/AUT FORD FIE FL,MOT1600CC","No esencial","",""
4000003,"CORREA ALTE P/AUT.FORD FIE.FLEX,M1600 CC","CORREA ALTE P/AUT.FORD FIE.FLEX,M1600 CC","No esencial","",""
4000004,"AMORT.DELANT.P/AUT.FORD FIE.,MOT1600 CC","AMORT.DELANT.P/AUT.FORD FIE.,MOT1600 CC","No esencial","",""
4000005,"AMORT.TRAS.P/AUT, FORD FIESTA,MOT1600 CC","AMORT.TRAS.P/AUT, FORD FIESTA,MOT1600 CC","No esencial","",""
4000006,"JUE.D/BUJ.BAR EST.P/AUT.FORD FI,MO1600CC","JUE.D/BUJ.BAR EST.P/AUT.FORD FI,MO1600CC","No esencial","",""
4000007,"JUE.BUJE EJ.TRA.P/AUT.FORD FIE,MOT1600CC","JUE.BUJE EJ.TRA.P/AUT.FORD FIE,MOT1600CC","No esencial","",""
4000008,"JUE/RUL.MAZA TRAS.P/AU.FORD FIE,MT1600CC","JUE/RUL.MAZA TRAS.P/AU.FORD FIE,MT1600CC","No esencial","",""
4000009,"JUE.PAST.FRE.DEL.P/AUT.FORD FIE.,M1600CC","JUE.PAST.FRE.DEL.P/AUT.FORD FIE.,M1600CC","No esencial","",""
4000010,"FILT.DE ACE.P/CAMIO.DC 4X2, FORD RANGER.","FILT.DE ACE.P/CAMIO.DC 4X2, FORD RANGER.","No esencial","",""
4000011,"CORR.DE ALT.P/CAMIOTA DC4X2,FORD RANGER","CORR.DE ALT.P/CAMIOTA DC4X2,FORD RANGER","No esencial","",""
4000012,"JU.DE RUL.MAZ.DEL/CAMTA DC4X2,FORD RANG.","JU.DE RUL.MAZ.DEL/CAMTA DC4X2,FORD RANG.","No esencial","",""
4000013,"JUE.BUJ.BAR.ESTA.P/CTA DC 4X2,FORD RANG.","JUE.BUJ.BAR.ESTA.P/CTA DC 4X2,FORD RANG.","No esencial","",""
4000014,"EXTRE.DE DIR.P/CAMTA DC 4X2,FORD RANGER.","EXTRE.DE DIR.P/CAMTA DC 4X2,FORD RANGER.","No esencial","",""
4000015,"JUE.DE RUL.MAZ.DELT.P/CMTA DC4X2,FORD R.","JUE.DE RUL.MAZ.DELT.P/CMTA DC4X2,FORD R.","No esencial","",""
4000016,"JUE.DE BUJ.BAR.EST.P/CMTA DC 4X2,FORD R.","JUE.DE BUJ.BAR.EST.P/CMTA DC 4X2,FORD R.","No esencial","",""
4000017,"EXTR.DE DIREC.P/CMTA DC 4X2,FORD RANGER","EXTR.DE DIREC.P/CMTA DC 4X2,FORD RANGER","No esencial","",""
4000018,"BOM.CTRAL DE EMB.P/CMTA DC 4X2, FORD RA.","BOM.CTRAL DE EMB.P/CMTA DC 4X2, FORD RA.","No esencial","",""
4000019,"PRECAP DE DIR.P/CMTA DC 4X2,FORD RANGER","PRECAP DE DIR.P/CMTA DC 4X2,FORD RANGER","No esencial","",""
4000020,"JUEG.PAST.FR.DELT.P/CMTA HYUNDAI,C.M.4X4","JUEG.PAST.FR.DELT.P/CMTA HYUNDAI,C.M.4X4","No esencial","",""
4000021,"JUE.PAST.FRE.TRA.P/CMTA HYUNDAI,C.ME.4X4","JUE.PAST.FRE.TRA.P/CMTA HYUNDAI,C.ME.4X4","No esencial","",""
4000022,"PRECAP DIR.P/CMTA HYUNDAI STA FE,C.M.4X4","PRECAP DIR.P/CMTA HYUNDAI STA FE,C.M.4X4","No esencial","",""
4000023,"J.DE RO/SUS.P/CMTA HYUNDAI STA FE","J.DE RO/SUS.P/CMTA HYUNDAI STA FE","No esencial","",""
4000024,"JU.DE B.PAR.P/CMTA HYUNDAI STA FE","JU.DE B.PAR.P/CMTA HYUNDAI STA FE","No esencial","",""
4000025,"TEN.DE COR.P/CMTA HYUNDAI STA FE,C.M.4X4","TEN.DE COR.P/CMTA HYUNDAI STA FE,C.M.4X4","No esencial","",""
4000026,"J.2 POL.TEN.P/CMTA HYUNDAI STA.FE","J.2 POL.TEN.P/CMTA HYUNDAI STA.FE","No esencial","",""
4000027,"RUL.TAQUE.P/CMTA HYUNDAI STA FE,CJ M.4X4","RUL.TAQUE.P/CMTA HYUNDAI STA FE,CJ M.4X4","No esencial","",""
4000028,"J.BUJ.EST.CTRAL P/CMTA HYU.STA FE","J.BUJ.EST.CTRAL P/CMTA HYU.STA FE","No esencial","",""
4000029,"JU.BUJ.EST.CTRAL P/CMTA HYU.STA FE","JU.BUJ.EST.CTRAL P/CMTA HYU.STA FE","No esencial","",""
4000030,"DISC.FREN.TRAS.P/CMTA HYUN.STA FE","DISC.FREN.TRAS.P/CMTA HYUN.STA FE","No esencial","",""
4000031,"FTRO DE AC.P/CMTA FURGO.RENAULT KANGOO.","FTRO DE AC.P/CMTA FURGO.RENAULT KANGOO.","No esencial","",""
4000032,"FILTRO D/AIRE P/CMTA FURGO.RENAU.KANGOO","FILTRO D/AIRE P/CMTA FURGO.RENAU.KANGOO","No esencial","",""
4000033,"FILT.COMB. P/CMTA FURGO.RENAULT KANGOO","FILT.COMB. P/CMTA FURGO.RENAULT KANGOO","No esencial","",""
4000034,"CORREA ALTERN.P/CMTA FURG.RENAULT KANGOO","CORREA ALTERN.P/CMTA FURG.RENAULT KANGOO","No esencial","",""
4000035,"CORREA DEL AA P/CMTA FURG.RENAULT KANGOO","CORREA DEL AA P/CMTA FURG.RENAULT KANGOO","No esencial","",""
4000036,"JU.AMORT.DELA.P/CMTA FURG.RENAULT KANGOO","JU.AMORT.DELA.P/CMTA FURG.RENAULT KANGOO","No esencial","",""
4000037,"FILTRO DE ACEI.P/CAMION,FORD CARGO 1717","FILTRO DE ACEI.P/CAMION,FORD CARGO 1717","No esencial","",""
4000038,"FILTRO DE AIRE P/CAMION FORD CARGO 1717","FILTRO DE AIRE P/CAMION FORD CARGO 1717","No esencial","",""
4000039,"FILTRO DE COMB.P/CAMION FORD CARGO 1717","FILTRO DE COMB.P/CAMION FORD CARGO 1717","No esencial","",""
4000040,"CORREA PARA CAMION FORD,MOD.CARGO 1717","CORREA PARA CAMION FORD,MOD.CARGO 1717","No esencial","",""
4000041,"REGULAD.DE VOLT.P/CAMION FORD CARGO 1717","REGULAD.DE VOLT.P/CAMION FORD CARGO 1717","No esencial","",""
4000042,"AMORT.TRASERO P/CAMION FORD CARGO 1717","AMORT.TRASERO P/CAMION FORD CARGO 1717","No esencial","",""
4000043,"CILI.AUX.MAES.DE EMB.P/CAM.FORD CAR.1717","CILI.AUX.MAES.DE EMB.P/CAM.FORD CAR.1717","No esencial","",""
4000044,"CILI.AUX.EMBR.P/CAMION FORD CARGO 1717","CILI.AUX.EMBR.P/CAMION FORD CARGO 1717","No esencial","",""
4000045,"EXT.DEREC.DIREC.P/CAMION FORD CARGO 1717","EXT.DEREC.DIREC.P/CAMION FORD CARGO 1717","No esencial","",""
4000046,"EXT.IZQ.DE DIRE.P/CAMION FORD CARGO 1717","EXT.IZQ.DE DIRE.P/CAMION FORD CARGO 1717","No esencial","",""
4000047,"RETEN MAZA DELA.P/CAMION FORD CARGO 1717","RETEN MAZA DELA.P/CAMION FORD CARGO 1717","No esencial","",""
4000048,"RETEN DE MAZA TRAS.P/CAM.FORD CARGO 1717","RETEN DE MAZA TRAS.P/CAM.FORD CARGO 1717","No esencial","",""
4000049,"TENS.DE CORREA P/CAMION FORD CARGO 1717","TENS.DE CORREA P/CAMION FORD CARGO 1717","No esencial","",""
4000050,"CRUZETA CARDAN P/CAMION FORD CARGO 1717","CRUZETA CARDAN P/CAMION FORD CARGO 1717","No esencial","",""
4000051,"CORREA ALTER.P/CMTA DC 4X2,FORD RANGER","CORREA ALTER.P/CMTA DC 4X2,FORD RANGER","No esencial","",""
4000052,"AMORT.TRASERO P/CMTA DC 4X2,FORD RANGER.","AMORT.TRASERO P/CMTA DC 4X2,FORD RANGER.","No esencial","",""
4000053,"ROT.INF.DE SUS.P/CMTA DC 4X2,FORD RANGER","ROT.INF.DE SUS.P/CMTA DC 4X2,FORD RANGER","No esencial","",""
4000054,"CENT.D/LA CRUZ.CARDAN P/CMTA DC 4X2,F.R.","CENT.D/LA CRUZ.CARDAN P/CMTA DC 4X2,F.R.","No esencial","",""
4000055,"JU.DE BUJ.BARRA ESTAB.P/CMTA DC 4X2,F.R.","JU.DE BUJ.BARRA ESTAB.P/CMTA DC 4X2,F.R.","No esencial","",""
4000056,"CORR.DE ALTERN./SINCR.P/CMTA DC FORD RA.","CORR.DE ALTERN./SINCR.P/CMTA DC FORD RA.","No esencial","",""
4000057,"BRA.SUSPE.SUP.IZQ.P/CMTA DC 4X4,FORD RA.","BRA.SUSPE.SUP.IZQ.P/CMTA DC 4X4,FORD RA.","No esencial","",""
4000058,"BRAZ.SUSP.INF.DER.P/CMTA DC 4X4,FORD RA.","BRAZ.SUSP.INF.DER.P/CMTA DC 4X4,FORD RA.","No esencial","",""
4000059,"BRAZ.SUSP.INF.IZQ.P/CMTA DC 4X4,FORD RA.","BRAZ.SUSP.INF.IZQ.P/CMTA DC 4X4,FORD RA.","No esencial","",""
4000060,"ROTU.INF.DE SUSP.P/CMTA DC 4X4,FORD RA.","ROTU.INF.DE SUSP.P/CMTA DC 4X4,FORD RA.","No esencial","",""
4000061,"PRECAP DE DIREC.P/CMTA DC 4X4,FORD RANG.","PRECAP DE DIREC.P/CMTA DC 4X4,FORD RANG.","No esencial","",""
4000062,"KIT EMB.PLAT.PRE.DISC P/CMTA DC 4X4,F.R.","KIT EMB.PLAT.PRE.DISC P/CMTA DC 4X4,F.R.","No esencial","",""
4000063,"JUE. BUJE BARRA ESTAB.P/CM DC 4X4,F.RAN.","JUE. BUJE BARRA ESTAB.P/CM DC 4X4,F.RAN.","No esencial","",""
4000064,"JTA TAP.MOT.STD  P/AMB.FIAT DUCATO DIES.","JTA TAP.MOT.STD  P/AMB.FIAT DUCATO DIES.","No esencial","",""
4000065,"JTA TAP.MOT. 1º P/AMB.,FIAT DUCATO DIES.","JTA TAP.MOT. 1º P/AMB.,FIAT DUCATO DIES.","No esencial","",""
4000066,"JTA TAP.MOT. 2ºP/AMB,FIAT DUCATO DIE.2.8","JTA TAP.MOT. 2ºP/AMB,FIAT DUCATO DIE.2.8","No esencial","",""
4000067,"JU.JTA MOT.COMP.P/AMB,FIAT DUCATO DI.2.8","JU.JTA MOT.COMP.P/AMB,FIAT DUCATO DI.2.8","No esencial","",""
4000068,"JU.JTA CART.DE GOM.P/AMB.FIAT DUCATO DI.","JU.JTA CART.DE GOM.P/AMB.FIAT DUCATO DI.","No esencial","",""
4000069,"TAPON CART.DESA.DE AC.P/AMB.,FIAT DUC.D.","TAPON CART.DESA.DE AC.P/AMB.,FIAT DUC.D.","No esencial","",""
4000070,"RETEN ARBOL DE LEVA P/AM.,FIAT DUCATO D.","RETEN ARBOL DE LEVA P/AM.,FIAT DUCATO D.","No esencial","",""
4000071,"VALVULAS DE ADM.P/AMB.,FIAT DUCATO DI.","VALVULAS DE ADM.P/AMB.,FIAT DUCATO DI.","No esencial","",""
4000072,"VALVULAS DE ESCAPE P/AM.,FIAT DUCATO DI.","VALVULAS DE ESCAPE P/AM.,FIAT DUCATO DI.","No esencial","",""
4000073,"CALCE(PAST.)P/BOTAD.P/AM.,FIAT DUCATO D.","CALCE(PAST.)P/BOTAD.P/AM.,FIAT DUCATO D.","No esencial","",""
4000074,"BOTADORES P/AMB.,FIAT DUCATO DIE.2.8","BOTADORES P/AMB.,FIAT DUCATO DIE.2.8","No esencial","",""
4000075,"JUE.DE ARO STD  P/AM.,FIAT DUCATO DI.2.8","JUE.DE ARO STD  P/AM.,FIAT DUCATO DI.2.8","No esencial","",""
4000076,"BUJE BRA.DE BIELA P/AMB.,FIAT DUCATO DI.","BUJE BRA.DE BIELA P/AMB.,FIAT DUCATO DI.","No esencial","",""
4000077,"JU.DE CASQ.BIELA 0,25 P/AMB.FIAT DUC.DI.","JU.DE CASQ.BIELA 0,25 P/AMB.FIAT DUC.DI.","No esencial","",""
4000078,"JUE.CASQ.BIELA 0,50 P/AMB.FIAT DUCATO D.","JUE.CASQ.BIELA 0,50 P/AMB.FIAT DUCATO D.","No esencial","",""
4000079,"JU.CASQ.BIELA 0,75 P/AMB.FIAT DUCATO DI.","JU.CASQ.BIELA 0,75 P/AMB.FIAT DUCATO DI.","No esencial","",""
4000080,"JUE.CASQ.BANC. STD P/AMB,FIAT DUCATO DI.","JUE.CASQ.BANC. STD P/AMB,FIAT DUCATO DI.","No esencial","",""
4000081,"JUE.CASQU.BANC.0,50 P/AMB.FIAT DUCATO D.","JUE.CASQU.BANC.0,50 P/AMB.FIAT DUCATO D.","No esencial","",""
4000082,"ENGRANAJE LEVA  P/AMB.,FIAT DUCATO DI.","ENGRANAJE LEVA  P/AMB.,FIAT DUCATO DI.","No esencial","",""
4000083,"SOPORT.MOT.P/AMB.,FIAT DUCATO DIESEL 2.8","SOPORT.MOT.P/AMB.,FIAT DUCATO DIESEL 2.8","No esencial","",""
4000084,"CORREA DENTADA P/AMB,FIAT DUCATO DIE.2.8","CORREA DENTADA P/AMB,FIAT DUCATO DIE.2.8","No esencial","",""
4000085,"CORREA A.A.P/AMB.,FIAT DUCATO DIESEL 2.8","CORREA A.A.P/AMB.,FIAT DUCATO DIESEL 2.8","No esencial","",""
4000086,"BOMBA DE AGUA P/AMB.,FIAT DUCATO DIE.2.8","BOMBA DE AGUA P/AMB.,FIAT DUCATO DIE.2.8","No esencial","",""
4000087,"JUEGO BUJES ESTAB.P/AMB.,FIAT DUCATO DI.","JUEGO BUJES ESTAB.P/AMB.,FIAT DUCATO DI.","No esencial","",""
4000088,"BUJ.SUSP.DELAN.COLA DEP.P/AM.FIAT DUC.D.","BUJ.SUSP.DELAN.COLA DEP.P/AM.FIAT DUC.D.","No esencial","",""
4000089,"RULEM.SEMI EJE P/AMB,FIAT DUCATO DIE.2.8","RULEM.SEMI EJE P/AMB,FIAT DUCATO DIE.2.8","No esencial","",""
4000090,"JUEGO GUARDAPO.P/HOMOC.P/AMB,FIAT DUC.D.","JUEGO GUARDAPO.P/HOMOC.P/AMB,FIAT DUC.D.","No esencial","",""
4000091,"PRISION. P/RUEDAS P/AMB.,FIAT DUCATO DI.","PRISION. P/RUEDAS P/AMB.,FIAT DUCATO DI.","No esencial","",""
4000092,"JU.GUAR.POL.P/HOMOCI.CALA P/AM.FIAT D.D.","JU.GUAR.POL.P/HOMOCI.CALA P/AM.FIAT D.D.","No esencial","",""
4000093,"SOP.AMORT.DELAN.CAZOL.P/AM.,FIAT DUC.DI.","SOP.AMORT.DELAN.CAZOL.P/AM.,FIAT DUC.DI.","No esencial","",""
4000094,"BUJ-TAQU.AMORT.DELAN.P/AMB.,FIAT DUC.DI.","BUJ-TAQU.AMORT.DELAN.P/AMB.,FIAT DUC.DI.","No esencial","",""
4000095,"AMORTIG.TRAS. P/AMB.,FIAT DUCATO DIESEL","AMORTIG.TRAS. P/AMB.,FIAT DUCATO DIESEL","No esencial","",""
4000096,"BUJ.ELAST.TRASER.DELAN.P/AMB.FIAT DUC.D.","BUJ.ELAST.TRASER.DELAN.P/AMB.FIAT DUC.D.","No esencial","",""
4000097,"BUJES ELAST.TRAS. P/AMB.,FIAT DUCATO DI.","BUJES ELAST.TRAS. P/AMB.,FIAT DUCATO DI.","No esencial","",""
4000098,"JUE.PASTIL.FREN.DELAN.P/AMB.FIAT DUC.DI.","JUE.PASTIL.FREN.DELAN.P/AMB.FIAT DUC.DI.","No esencial","",""
4000099,"JUE.PASTI.FREN.DELANT.P/AMB.FIAT DUC.DI.","JUE.PASTI.FREN.DELANT.P/AMB.FIAT DUC.DI.","No esencial","",""
